,Unnamed: 0.1,Unnamed: 0,PC1,PC2,year,condition,odometer,mmr,sellingprice,income,using_time,make,model,body,transmission,state,color,interior,region,K
644,644,644,0.6266511800903032,0.826409036072345,2012,4.4,40094.0,9500,10750,77030,3,nissan,Sentra,sedan,automatic,ca,white,black,pacific,6
645,645,645,-0.8782081236384416,-1.5092003434166033,2011,2.1,74214.0,7450,7900,57290,4,volkswagen,Jetta,sedan,automatic,tn,silver,black,southeast,2
646,646,646,1.5213868067036935,1.0336878624805523,2012,3.9,27713.0,21300,22000,77030,3,mercedes-benz,C-Class,sedan,automatic,ca,—,gray,pacific,6
647,647,647,0.0340999622062361,-0.9062494997446672,2013,2.3,54381.0,11050,9800,62930,2,nissan,Altima,sedan,automatic,in,gray,black,midwest,3
648,648,648,-0.2526634699519776,2.1321470578534383,2011,3.6,55764.0,7675,7600,89090,4,nissan,Sentra,sedan,automatic,md,silver,gray,northeast,2
649,649,649,2.6933199775802,-0.9639569186910012,2014,5.0,14850.0,22500,25000,59100,1,chrysler,Town and Country,van,automatic,fl,beige,beige,southeast,4
650,650,650,-2.6089935092149847,-0.639540413564237,2006,2.7,143948.0,6875,3100,62960,9,jeep,Commander,suv,automatic,nv,black,beige,mountain west,9
651,651,651,1.7706983928551476,-0.9927848711017372,2012,4.3,25545.0,20800,21000,59100,2,lexus,CT 200h,hatchback,automatic,fl,white,black,southeast,4
652,652,652,-2.020204154900893,1.4027241134167672,2008,1.9,82008.0,6275,2650,82750,7,mazda,Mazda3,sedan,automatic,nj,silver,black,northeast,7
653,653,653,2.101684941203969,0.464434863196203,2012,3.6,45480.0,31200,31500,70210,3,lincoln,Navigator,suv,automatic,ny,silver,black,northeast,3
654,654,654,0.8045484753503133,-1.1453440496313512,2012,2.4,15867.0,18800,17200,59100,3,infiniti,G Sedan,sedan,automatic,fl,gray,black,southeast,4
655,655,655,1.9772351139587443,-1.1177002985197608,2014,4.0,11844.0,19500,19000,59100,1,chevrolet,Impala,sedan,automatic,fl,gray,gray,southeast,4
656,656,656,1.2614032114940528,-0.0928918153812918,2013,3.5,28737.0,17250,17700,68360,2,scion,FR-S,coupe,manual,tx,gray,black,southwest,2
657,657,657,1.9078031432348248,0.4826956119319118,2014,4.1,27890.0,18400,21400,73130,1,subaru,Legacy,sedan,automatic,il,blue,black,midwest,3
658,658,658,-1.8709891253161712,1.489160380140949,2008,3.5,148693.0,6450,5200,82150,7,ford,Explorer,suv,automatic,ma,black,tan,northeast,8
659,659,659,2.436804036514258,0.1551771018932445,2013,4.6,25346.0,26300,26400,68360,2,ford,Explorer,suv,automatic,tx,—,black,southwest,6
660,660,660,0.8123625118553846,-1.169682172573123,2012,4.6,33508.0,10200,10600,59100,3,nissan,Leaf,hatchback,automatic,fl,white,gray,southeast,4
661,661,661,2.155498218600781,0.5494900012435749,2014,4.4,35237.0,21600,22900,73100,1,lincoln,MKZ,sedan,automatic,pa,black,brown,northeast,2
662,662,662,-0.2047354067505274,0.8913947297030567,2010,2.5,43469.0,15000,13250,77030,5,audi,A4,sedan,automatic,ca,white,black,pacific,6
663,663,663,1.2390493935244005,-1.2503549186978735,2014,3.0,19134.0,15200,15800,59100,1,chevrolet,Malibu,sedan,automatic,fl,silver,black,southeast,4
664,664,664,-2.9625169432158605,1.5668246599948168,2005,3.1,161623.0,4050,3900,82150,10,nissan,Xterra,suv,automatic,ma,silver,gray,northeast,8
665,665,665,-1.8618398503583864,-1.1844773972812717,2007,2.8,67727.0,3025,3500,59100,8,chrysler,PT Cruiser,wagon,automatic,fl,blue,gray,southeast,4
