,Dimension_1,Dimension_2,year,make,model,body,transmission,state,condition,odometer,color,interior,mmr,sellingprice,income,using_time,region
575,3.888362776683073,-0.6438047247532759,2005,ford,F-150,cab,automatic,ms,2.1,151898.0,white,black,6825,10200,48460,10,southeast
576,-0.699569908707416,1.234044378729685,2011,ford,F-150,cab,automatic,mi,3.9,52513.0,black,gray,23500,21000,65610,4,midwest
577,2.430465609951343,-1.6949967718016024,2005,infiniti,G35,coupe,automatic,ga,2.9,141807.0,white,beige,5750,6200,61450,10,southeast
578,0.05644390468305877,1.3285275221447173,2010,honda,Ridgeline,cab,automatic,ga,3.7,46584.0,gray,gray,21100,21400,61450,5,southeast
579,-0.1549549252891864,-2.254507245065838,2007,chevrolet,Silverado 2500HD,cab,automatic,ma,3.2,108071.0,blue,black,10250,11000,82150,8,northeast
580,-0.5330246388344484,-0.22239975219065278,2012,ford,Focus,sedan,automatic,ne,3.2,32766.0,silver,tan,10050,9800,73200,3,midwest
581,0.0613660808377597,-0.6188201843519577,2009,lexus,IS 250,sedan,automatic,mo,3.0,63197.0,gray,gray,16200,12500,71660,6,midwest
582,2.0570420095340345,-1.254222366801323,2006,cadillac,STS,sedan,automatic,nc,2.6,113296.0,blue,tan,5850,6000,61490,8,southeast
583,1.0070666259545475,0.19303899755557924,2011,hyundai,Sonata,sedan,automatic,ga,3.8,108581.0,white,black,8975,10100,61450,4,southeast
584,0.824639993617892,1.191124472728357,2012,chevrolet,Impala,sedan,automatic,tn,3.9,65186.0,silver,gray,9000,10500,57290,2,southeast
585,3.4687574004089985,-3.7336716614098884,2002,chevrolet,Cavalier,sedan,automatic,wi,1.0,181467.0,silver,gray,325,325,67090,13,midwest
586,-2.352721753548615,0.46049608912282236,2013,kia,Rio,sedan,automatic,ca,5.0,585.0,red,black,13550,13600,77030,2,pacific
587,-0.7780488261090955,-1.9930920396839025,2011,ford,Transit Connect,van,automatic,ma,3.5,124792.0,white,gray,7275,6100,82150,4,northeast
588,-0.18595960807351233,1.9959283386908953,2012,mercedes-benz,C-Class,sedan,automatic,fl,3.5,32846.0,white,beige,21700,22000,59100,2,southeast
589,0.9032343986543306,-2.1517634882100283,2007,kia,Sorento,suv,automatic,va,1.9,77634.0,gold,tan,5725,5900,74430,8,southeast
590,-2.5292661979523485,0.3243586183097468,2013,mercedes-benz,C-Class,sedan,automatic,nj,3.9,33082.0,black,black,23200,22500,82750,2,northeast
591,0.22221684871228192,1.2527504672443184,2011,nissan,Rogue,suv,automatic,fl,3.9,32460.0,red,gray,13950,16600,59100,4,southeast
592,-0.11819207278857928,3.3045146202536464,2012,mercedes-benz,M-Class,suv,automatic,ga,2.8,40745.0,—,off-white,33500,31500,61450,3,southeast
593,-0.940542217007928,0.040278796259588696,2013,ford,Fusion,sedan,automatic,il,2.9,18475.0,silver,black,14750,12400,73130,2,midwest
594,-0.12907517183514727,2.003695638160349,2013,nissan,Sentra,sedan,automatic,fl,4.5,9873.0,gray,black,13450,13600,59100,2,southeast
595,-0.7861899559993005,2.3617776959936174,2013,honda,Accord,coupe,automatic,fl,4.6,10264.0,blue,black,21500,20400,59100,2,southeast
596,-0.2993821716879021,1.5562011302695935,2014,ford,Fusion,sedan,automatic,ga,4.1,43497.0,black,black,14750,14600,61450,1,southeast
